Nome,Tópico,Progresso,Terminado,Link,Última Visualização
logging.handlers — Logging handlers,,,No,https://docs.python.org/3/library/logging.handlers.html#streamhandler,"February 17, 2022"
http://github.com/fluent/fluent-logger-python,,,No,https://docs.fluentd.org/language-bindings/python#using-fluent-logger-python,"February 17, 2022"
tornado.log — Logging support,,,No,https://www.tornadoweb.org/en/stable/log.html,"February 17, 2022"
logging — Recurso de utilização do Logging para Python,,,No,https://docs.python.org/pt-br/3/library/logging.html#logging.Logger.addHandler,"February 17, 2022"
https://github.com/fluent/https://github.com/fluent/fluent-logger-python,,,No,https://github.com/fluent/fluent-logger-python,"February 17, 2022"
"Fazendo com que os registradores Python produzam todas as mensagens para stdout, além do arquivo de log",,,No,https://qastack.com.br/programming/14058453/making-python-loggers-output-all-messages-to-stdout-in-addition-to-log-file,"February 17, 2022"
A Beginner’s Guide to the Python time Module,,,No,https://realpython.com/python-time-module/,"February 17, 2022"
Python time Module,,,No,https://www.programiz.com/python-programming/time,"February 17, 2022"
How to get current date and time in Python?,,,No,https://www.programiz.com/python-programming/datetime/current-datetime,"February 17, 2022"
https://github.com/cookiecutter/https://github.com/cookiecutter/cookiecutter-django,,,No,https://github.com/cookiecutter/cookiecutter-django/tree/master/%7B%7Bcookiecutter.project_slug%7D%7D,"February 17, 2022"
Welcome to Cookiecutter Django’s documentation!https://cookiecutter-django.readthedocs.io/en/latest/#welcome-to-cookiecutter-django-s-documentation,,,No,https://cookiecutter-django.readthedocs.io/en/latest/,"February 17, 2022"
__init__,BLOG,,No,https://bobbelderbos.com/guide,"February 18, 2022"
Python Brasil,,,No,https://2021.pythonbrasil.org.br/,"February 18, 2022"
Free Python Books,,,No,https://github.com/pamoroso/free-python-books,"February 21, 2022"
Beginners Guide - An introduction to bitcoin,,,No,https://learnmeabitcoin.com/beginners/,"February 21, 2022"
Python Documentation,,,No,https://devdocs.io/python~3.9/,"February 21, 2022"
https://pense-python.caravela.club/19-extra/07-defaultdict.html#197---defaultdict,,,No,https://pense-python.caravela.club/19-extra/07-defaultdict.html,"February 21, 2022"
Python Site Official,,,No,https://www.python.org/,"February 21, 2022"
PYTHON 3.10: NOVIDADES DA VERSÃO,,,No,https://pythonacademy.com.br/blog/python-3-10-o-que-ha-de-novo,"February 21, 2022"
APRENDER A CONFIGURAR O pytest.ini,,,No,https://www.google.com/search?q=APRENDER+A+CONFIGURAR+O+pytest.ini&oq=APRENDER+A+CONFIGURAR+O+pytest.ini&aqs=chrome..69i57.359j0j4&sourceid=chrome&ie=UTF-8,"February 21, 2022"
Linting e Formatação,,,No,https://realpython.com/advanced-visual-studio-code-python/#setting-format-and-lint-on-save,"February 21, 2022"
Como publicar um pacote Python de código aberto no PyPI,,,No,https://realpython.com/pypi-publish-python-package/#building-your-package,"February 21, 2022"
TOX - Visão: padronizar testes em Python,,,No,https://tox.wiki/en/latest/,"February 21, 2022"
NO POETRY SEMPRE ADICIONAR E CRIAR O tox.ini,,,No,https://www.google.com/search?q=NO+POETRY+SEMPRE+ADICIONAR+E+CRIAR+O+tox.ini&oq=NO+POETRY+SEMPRE+ADICIONAR+E+CRIAR+O+tox.ini&aqs=chrome..69i57j33i160l2.569j0j7&sourceid=chrome&ie=UTF-8,"February 21, 2022"
Joblib: running Python functions as pipeline jobs,,,No,https://joblib.readthedocs.io/en/latest/,"February 22, 2022"
Dask natively scales Python,,,No,https://dask.org/,"February 22, 2022"
django-crispy-forms,,,No,https://github.com/django-crispy-forms/django-crispy-forms,"February 22, 2022"
,,,No,,
